start,end,speaker,role,text,voice
0.0,1.44,VICTIM,victim,हैलो? कौन है?,hi-IN-SwaraNeural
2.29,8.43,SCAMMER,scammer,"नमस्ते, मैं भारतीय स्टेट बैंक से बोल रहा हूँ। क्या मैं रमेश कुमार से बात कर रहा हूँ?",hi-IN-MadhurNeural
8.96,11.98,VICTIM,victim,"हाँ, मैं रमेश ही हूँ। क्या बात है?",hi-IN-SwaraNeural
12.49,20.51,SCAMMER,scammer,"सर, आपके खाते में एक संदिग्ध लेन-देन हुआ है। क्या आपने अभी-अभी दस हज़ार रुपये का भुगतान किया है किसी अंजान व्यापारी को?",hi-IN-MadhurNeural
21.31,25.95,VICTIM,victim,"दस हज़ार? नहीं, मैंने तो कोई भुगतान नहीं किया। ये क्या हो रहा है?",hi-IN-SwaraNeural
26.82,37.82,SCAMMER,scammer,"चिंता मत कीजिए सर, हम आपकी मदद के लिए ही फोन कर रहे हैं। हमें आपका खाता सुरक्षित करना होगा। क्या आप अपना डेबिट कार्ड अपने पास रख सकते हैं?",hi-IN-MadhurNeural
38.62,42.31,VICTIM,victim,"हाँ, मेरे पास ही है। पर... मुझे समझ नहीं आ रहा।",hi-IN-SwaraNeural
42.83,51.85,SCAMMER,scammer,"ठीक है। कार्ड पर जो सोलह अंकों का नंबर है, वो कृपया मुझे बता सकते हैं? ये ज़रूरी है, सर, वर्ना आपका खाता ब्लॉक हो सकता है।",hi-IN-MadhurNeural
52.5,61.82,VICTIM,victim,अह... मुझे थोड़ा अजीब लग रहा है। क्या आप बैंक से बोल रहे हैं? मैं बाद में बैंक में जाकर पता कर सकता हूँ।,hi-IN-SwaraNeural
62.59,71.65,SCAMMER,scammer,"सर, आपके पास ज़्यादा समय नहीं है। अगर आप तुरंत नहीं बताते, तो आपके खाते से और भी पैसे निकाले जा सकते हैं।",hi-IN-MadhurNeural
72.64,78.77,VICTIM,victim,"नहीं, मैं अभी अपना कार्ड नंबर नहीं बताऊँगा। धन्यवाद। मैं खुद बैंक जाकर बात कर लूँगा।",hi-IN-SwaraNeural
79.39,82.33,SCAMMER,scammer,सुनिए... सुनिए! आप बहुत बड़ी गलती कर रहे हैं!,hi-IN-MadhurNeural
